"repo"	"path"	"sha256"	"total"	"passed"	"failed"	"skipped"	"expected_cases"	"count_disposition"	"package_scope"
"server"	"TestResults/a1-binding-derived-session/a1-binding-derived-session-r2.trx"	"554AEDF843FCCE4DFDDF993D36EAE87B0F3B49204B5BB506EDC730D093F0F5D4"	"67"	"66"	"1"	"0"	"67"	"FAILED_RECORDED"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-binding-derived-session/a1-binding-derived-session-r3.trx"	"F9C3C59E2C0768F38EAA6820A19D432E0834443757236B34662E38CFA5B0AD43"	"67"	"67"	"0"	"0"	"67"	"PASS_EXACT_COUNT"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-binding-derived-session/a1-binding-derived-session.trx"	"D828C4105B31C52C9D1D19C6D538DEE4E033C1A682BE056AA3CB1FECCAE0B0C8"	"61"	"58"	"3"	"0"	"61"	"FAILED_RECORDED"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-binding-derived-session/arch.trx"	"FC65707B2F7602D18D6BF1DE58A0549434D7DED278EDC1CEB5FD7A8DC1404BF6"	"152"	"152"	"0"	"0"	"152"	"PASS_EXACT_COUNT"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-binding-derived-session/contract.trx"	"7D55E9B143E88F68471AA317BEF9522AB2E0ECBC309CE881750C47D9CA80983B"	"15"	"15"	"0"	"0"	"15"	"PASS_EXACT_COUNT"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-binding-derived-session/unit.trx"	"0FD6180E2CAB0F7DF66BF20C44919AB11B67B0F5B517D4E9E848B92726714110"	"261"	"261"	"0"	"0"	"261"	"PASS_EXACT_COUNT"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-continuation/a1-checkpoint-arch.trx"	"B2AA269B0E9FA7A55277BEAB5C4E76E43C1B5968042AC6C122197C4FDB1673F9"	"152"	"152"	"0"	"0"	"152"	"PASS_EXACT_COUNT"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-continuation/a1-checkpoint-contract.trx"	"DBF88A644C82E3DE9E76DACB3D18732763CF89204C51D0E52EB217245F44A69A"	"15"	"15"	"0"	"0"	"15"	"PASS_EXACT_COUNT"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-continuation/a1-checkpoint-unit.trx"	"3D4C34F003F16A83D4A442A4D582B16DB5FE68E9C95E8D88AA4DC06EBE362421"	"239"	"239"	"0"	"0"	"239"	"PASS_EXACT_COUNT"	"WHOLE_REPO_HISTORICAL_INVENTORY"
"server"	"TestResults/a1-continuation/a1-continuation-checkpoint.trx"	"31709E08A4F26F45CF9F344CE6A133E020C118C59EC41276BD569F811859EDD7"	"56"	"56"	"0"	"0"	"56"	"PASS_EXACT_COUNT"	"WHOLE_REPO_HISTORICAL_INVENTORY"
