id	path	sha256	result_summary	total	passed	failed	skipped	failed_census_id
TR001	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-early-available-red.trx	774144B17E62E0AB4B3A65848354F57BDC041B08F3F2048E6E9DEDA985A281B2	Failed	1	0	1	0	FR001
TR002	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-http-r5-baseline.trx	4E255399E054E4C4E44BF4217DD05B6C125BBE0A7799CCE1C6609FD900B49111	Completed	1	1	0	0	
TR003	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-http-r5-restored.trx	8673F3C841A3D4992F0D2892D3DB3C57F66BC5620170BEE42C3A0859DFC6551F	Completed	1	1	0	0	
TR004	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-kestrel-final-source-red.trx	57DE71AAFE6C362BA9E9498A8F23B530F3FDBD0DEF5AD2A83AC7BC3D238984C0	Failed	1	0	1	0	FR002
TR005	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-kestrel-r5-baseline.trx	54DCF90E13B4EDB81AE6C520414C7EE668619801B976BD287C9A6B6578851ED1	Completed	1	1	0	0	
TR006	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-kestrel-r5-red.trx	8CE3324D0ACA2102913BB41BE32338F99F57A54EF98D1A87A60D50097E9D1674	Failed	1	0	1	0	FR003
TR007	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-kestrel-r5-restored.trx	4AE37013F70A2E64D71A740D25BE1D0CEFEC72806B1B06F48E5F2197050ADA3C	Completed	1	1	0	0	
TR008	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-p17-kestrel-baseline.trx	F4F9676290C52CD007505758EDFBEF73CB1DBF31F6ECB4A5EC6DDCE9F1B90B0E	Failed	1	0	1	0	FR004
TR009	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-p17-kestrel-final-baseline.trx	F4519594F07AEE7453A70BD1DC51DE9CCA197E4E56BEA90512387DC22E5D234B	Completed	1	1	0	0	
TR010	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-p17-kestrel-final-restored.trx	9E1CCC04F55284DC836FF70DF30B4949B64DF6AE4DFD1DC13A063967A3184441	Completed	1	1	0	0	
TR011	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp11-p17-kestrel-server-read-baseline.trx	B73FA93EF44263A6FDB9FD2EA9BEE6B78892E8A9CC98A35ABC60CE2074BE7E30	Completed	1	1	0	0	
TR012	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-bp17-final-joined.trx	4F8E69AEC3032F5C0E8489EB3FB34F5302EC0A2741A88045A680939CA853B037	Completed	5	5	0	0	
TR013	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-bp17-ratified-sentinel.trx	1A134C64DA761D8444E283AB33E39DDD739181E402289DEBC37300DBC36FC9B5	Completed	6	6	0	0	
TR014	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-consumer-final-source-red.trx	90D030F61BF771C0F921BB23DA50BB3D28EB1737BCDFBA648AE3112E80D6F399	Failed	1	0	1	0	FR005
TR015	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-consumer-red.trx	01FA1B5CD2D6BF0FE734376F1A8B8D99B74719E5E9CBBF78A7E3AD96CC13A497	Failed	1	0	1	0	FR006
TR016	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-durable-verifier-baseline-v2.trx	B9BBD8B13C02DC03B0BE4FE914204D5D6BC5FE90D2B3E1C635A3D291FCE039C1	Completed	1	1	0	0	
TR017	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-processkill-cut0-restored.trx	701D5ED81FBA7ABF7B44CA57F917FFF5B618D2B52624C25F869175CF84E8E420	Completed	1	1	0	0	
TR018	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-selector-red.trx	CB5E2579A4E3FA37FD0673530C43D242E225061E9EEFB560F8329595BB5AB177	Failed	1	0	1	0	FR007
TR019	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp16-verifier-restored-joined.trx	FBFE988F7B631FCEED73C4566D2E1F7D37510858AABEA7FB3D09E3CFA3C13E35	Completed	2	2	0	0	
TR020	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp17-ciphertext-baseline-v2.trx	9502CDC703EEEED6D3F1B42C32FACF2778BB005980706D2C7F897B989699C7A0	Completed	2	2	0	0	
TR021	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp17-ciphertext-baseline.trx	255C6D30D0614A683B143D1B3453F720CEBA8D86B854D5F2582D29CB2931B8F9	Failed	2	1	1	0	FR008
TR022	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp17-ciphertext-cause-red.trx	E9510C017188B4B080895B7D0D8177ED6D3BAF7E399BC145F4D0FEAFA9AF7516	Failed	2	1	1	0	FR009
TR023	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp18-bp21-final-joined.trx	9320941C3616CF69ACF41DB0DEE8D7E4C6140C32395138EDC3D4118B278B25F8	Completed	6	6	0	0	
TR024	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp21-four-evidence-final-source-red.trx	393D382B439CA26F55D4E5D0DF6D8AB1530819C0D61DF1FE236F397A6A7001F2	Failed	4	1	3	0	FR010
TR025	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-bp21-four-evidence-red.trx	F568A3A384ED36753A8630808C29684CFE0B26540D6E611667D64BA6C1E784A6	Failed	4	1	3	0	FR011
TR026	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-cluster-baseline-focused.trx	1FBA96EE7155F4D56D6F78590CBF48B6FC13BA11CCE68F93B624AFCF3F7AC375	Completed	10	10	0	0	
TR027	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-cluster-restored-joined-final-candidate.trx	57ACAFEA0BB576F25761250984EC4D5CA4755C1CA93E96531F1BCAC9E6B130BA	Completed	27	27	0	0	
TR028	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-cluster-restored-joined.trx	867A92F335CBE3BB002797FB96A0B33CE5057CA16061436B4052A0ECD87F1C9D	Completed	12	12	0	0	
TR029	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-down-guard-audit.trx	B7A6DB3F9942E90FC27144BFD9196019E6D750D918D0A4D3DAA35F6A9B11EFA9	Completed	1	1	0	0	
TR030	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-eight-scenario-phase-a-joined.trx	F30FC6C2F009D35B76A9EB6CC15F16554A5C6B129A7EE51D25DD4E8E468D761D	Completed	8	8	0	0	
TR031	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-gh-agent-replay-read-red.trx	9B50285D203843F317B70CA48ADAA039030E56541E54C837D790CC027389D9C2	Failed	1	0	1	0	FR012
TR032	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-gp-agent-committed-red-v2.trx	379638B98B5BED58B6588A11FEC0A8604D39772136EB5064D0F8923DE929F0FA	Failed	1	0	1	0	FR013
TR033	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-gp-agent-r5-red.trx	F77BA2BFBFE5E3C9AFA75B4AF4752380A8EEFA3EBFFAA05CE833FEF625954C34	Completed	1	1	0	0	
TR034	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-http-replay-baseline.trx	E4E26092B84D08EAC2EA23E5BEEB1364801FF561031046CE657AE7040C0A79EC	Completed	2	2	0	0	
TR035	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-nine-scenario-candidate-baseline.trx	6C51FA77E62B370199E11A1B203BF181C6050B39F15A6E44A799D54597FA95C5	Completed	9	9	0	0	
TR036	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-nps-evidence-baseline-v2.trx	0295FD5FE24AC4E1B62676ABA425C2D31B94159CA31AC814FC5CEB535827E45E	Completed	4	4	0	0	
TR037	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-nps-evidence-baseline.trx	36DCA0C3CD77B9DAA816FA86B24AF67DF09BEBA91F2DB4B947DCA1FD3960338E	Failed	4	1	3	0	FR014
TR038	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-nps-evidence-disjunction-red.trx	2B1B2F0FA0437020AC8FE6CED26DAFE817664261E0437DDDD046C2044E83F81F	Failed	1	0	1	0	FR015
TR039	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-o19-diagnostic.trx	6647063E8EF135E4FE583AF1C17871EDC2CCAC261AE4CBA4C5EDA1EF599BE41C	Failed	2	1	1	0	FR016
TR040	server/tests/TagEkyc.IntegrationTests/TestResults/a3-r2r6-o19-hash-diagnostic.trx	0C16C1BC7566F068885F6EDE07EC3C2AA81ED79EC70212FF42F62BA765071F6B	Completed	1	1	0	0	
